Contest Year,R/O,Country,Artist,Song,Language,Points,Place
1974,14,Germany,Cindy and Bert,"""Die Sommermelodie""",German,3,14
1974,15,Switzerland,Piera Martell,"""Mein Ruf nach dir""",German,3,14
1974,16,Portugal,Paulo de Carvalho,"""E depois do adeus""",Portuguese,3,14
1974,17,Italy,Gigliola Cinquetti,"""Sì""",Italian,18,2
1975,1,Netherlands,Teach-In,"""Ding-a-dong""",English,152,1
1975,2,Ireland,The Swarbriggs,"""That's What Friends Are For""",English,68,9
1975,3,France,Nicole Rieu,"""Et bonjour à toi l'artiste""",French,91,4
1975,4,Germany,Joy Fleming,"""Ein Lied kann eine Brücke sein""","German, English",15,17
1975,5,Luxembourg,Géraldine,"""Toi""",French,84,5
1975,6,Norway,Ellen Nikolaysen,"""Touch My Life (with Summer)""",English,11,18
1975,7,Switzerland,Simone Drexel,"""Mikado""",German,77,6
1975,8,Yugoslavia,Pepel in kri,"""Dan ljubezni""",Slovene,22,13
1975,9,United Kingdom,The Shadows,"""Let Me Be the One""",English,138,2
1975,10,Malta,Renato,"""Singing This Song""",English,32,12
1975,11,Belgium,Ann Christy,"""Gelukkig zijn""","Dutch, English",17,15
1975,12,Israel,Shlomo Artzi,"""At Va'Ani"" (את ואני)",Hebrew,40,11
1975,13,Turkey,Semiha Yankı,"""Seninle Bir Dakika""",Turkish,3,19
1975,14,Monaco,Sophie,"""Une chanson c'est une lettre""",French,22,13
1975,15,Finland,Pihasoittajat,"""Old Man Fiddle""",English,74,7
1975,16,Portugal,Duarte Mendes,"""Madrugada""",Portuguese,16,16
1975,17,Spain,Sergio and Estíbaliz,"""Tú volverás""",Spanish,53,10
1975,18,Sweden,Lasse Berghagen and the Dolls,"""Jennie, Jennie""",English,72,8
1975,19,Italy,Wess and Dori Ghezzi,"""Era""",Italian,115,3
1976,1,United Kingdom,Brotherhood of Man,"""Save Your Kisses for Me""",English,164,1
1976,2,Switzerland,"Peter, Sue and Marc","""Djambo, Djambo""",English,91,4
1976,3,Germany,Les Humphries Singers,"""Sing Sang Song""","German, English",12,15
1976,4,Israel,"Chocolate, Menta, Mastik","""Emor Shalom"" (אמור שלום)",Hebrew,77,6
1976,5,Luxembourg,Jürgen Marcus,"""Chansons pour ceux qui s'aiment""",French,17,14
1976,6,Belgium,Pierre Rapsat,"""Judy et Cie""",French,68,8
1976,7,Ireland,Red Hurley,"""When""",English,54,10
1976,8,Netherlands,Sandra Reemer,"""The Party's Over""",English,56,9
1976,9,Norway,Anne-Karine Strøm,"""Mata Hari""",English,7,18
1976,10,Greece,Mariza Koch,"""Panagia mou, Panagia mou"" (Παναγιά μου, Παναγιά μου)",Greek,20,13
1976,11,Finland,Fredi and the Friends,"""Pump-Pump""",English,44,11
1976,12,Spain,Braulio,"""Sobran las palabras""",Spanish,11,16
1976,13,Italy,Al Bano and Romina Power,"""We'll Live It All Again""","English, Italian",69,7
1976,14,Austria,Waterloo and Robinson,"""My Little World""",English,80,5
1976,15,Portugal,Carlos do Carmo,"""Uma flor de verde pinho""",Portuguese,24,12
1976,16,Monaco,Mary Christy,"""Toi, la musique et moi""",French,93,3
1976,17,France,Catherine Ferry,"""Un, deux, trois""",French,147,2
1976,18,Yugoslavia,Ambasadori,"""Ne mogu skriti svoju bol"" (Не могу скрити своју бол)",Serbo-Croatian,10,17
1977,1,Ireland,The Swarbriggs Plus Two,"""It's Nice to Be in Love Again""",English,119,3
1977,2,Monaco,Michèle Torr,"""Une petite française""",French,96,4
1977,3,Netherlands,Heddy Lester,"""De mallemolen""",Dutch,35,12
1977,4,Austria,Schmetterlinge,"""Boom Boom Boomerang""",German,11,17
1977,5,Norway,Anita Skorgan,"""Casanova""",Norwegian,18,14
1977,6,Germany,Silver Convention,"""Telegram""",English,55,8
1977,7,Luxembourg,Anne-Marie B,"""Frère Jacques""",French,17,16
1977,8,Portugal,Os Amigos,"""Portugal no coração""",Portuguese,18,14
1977,9,United Kingdom,Lynsey de Paul and Mike Moran,"""Rock Bottom""",English,121,2
1977,10,Greece,"Pascalis, Marianna, Robert and Bessy","""Mathima solfege"" (Μάθημα σολφέζ)",Greek,92,5
1977,11,Israel,Ilanit,"""Ahava Hi Shir Lishnayim"" (אהבה היא שיר לשניים)",Hebrew,49,11
1977,12,Switzerland,Pepe Lienhard Band,"""Swiss Lady""",German,71,6
1977,13,Sweden,Forbes,"""Beatles""",Swedish,2,18
1977,14,Spain,Micky,"""Enséñame a cantar""",Spanish,52,9
1977,15,Italy,Mia Martini,"""Libera""",Italian,33,13
1977,16,Finland,Monica Aspelund,"""Lapponia""",Finnish,50,10
1977,17,Belgium,Dream Express,"""A Million in One, Two, Three""",English,69,7
1977,18,France,Marie Myriam,"""L'oiseau et l'enfant""",French,136,1
1978,1,Ireland,Colm C. T. Wilkinson,"""Born to Sing""",English,86,5
1978,2,Norway,Jahn Teigen,"""Mil etter mil""",Norwegian,0,20
1978,3,Italy,Ricchi e Poveri,"""Questo amore""",Italian,53,12
1978,4,Finland,Seija Simola,"""Anna rakkaudelle tilaisuus""",Finnish,2,18=
1978,5,Portugal,Gemini,"""Dai li dou""",Portuguese,5,17
1978,6,France,Joël Prévost,"""Il y aura toujours des violons""",French,119,3
1978,7,Spain,José Vélez,"""Bailemos un vals""",Spanish,65,9=
1978,8,United Kingdom,Co-Co,"""The Bad Old Days""",English,61,11
1978,9,Switzerland,Carole Vinci,"""Vivre""",French,65,9=
1978,10,Belgium,Jean Vallée,"""L'amour ça fait chanter la vie""",French,125,2
1978,11,Netherlands,Harmony,"""'t Is OK""",Dutch,37,13
1978,12,Turkey,Nilüfer and Nazar,"""Sevince""",Turkish,2,18=
1978,13,Germany,Ireen Sheer,"""Feuer""",German,84,6
1978,14,Monaco,Caline and Olivier Toussaint,"""Les jardins de Monaco""",French,107,4
1978,15,Greece,Tania Tsanaklidou,"""Charlie Chaplin"" (Τσάρλυ Τσάπλιν)",Greek,66,8
1978,16,Denmark,Mabel,"""Boom Boom""",Danish,13,16
1978,17,Luxembourg,Baccara,"""Parlez-vous français ?""",French,73,7
1978,18,Israel,Izhar Cohen and the Alphabeta,"""A-Ba-Ni-Bi"" (א-ב-ני-בי)",Hebrew,157,1
1978,19,Austria,Springtime,"""Mrs. Caroline Robinson""",German,14,15
1978,20,Sweden,Björn Skifs,"""Det blir alltid värre framåt natten""",Swedish,26,14
1979,1,Portugal,Manuela Bravo,"""Sobe, sobe, balão sobe""",Portuguese,64,9
1979,2,Italy,Matia Bazar,"""Raggio di luna""",Italian,27,15
1979,3,Denmark,Tommy Seebach,"""Disco Tango""",Danish,76,6
1979,4,Ireland,Cathal Dunne,"""Happy Man""",English,80,5
1979,5,Finland,Katri Helena,"""Katson sineen taivaan""",Finnish,38,14
1979,6,Monaco,Laurent Vaguener,"""Notre vie c'est la musique""",French,12,16
1979,7,Greece,Elpida,"""Sokrati"" (Σωκράτη)",Greek,69,8
1979,8,Switzerland,"Peter, Sue and Marc, Pfuri, Gorps and Kniri","""Trödler und Co""",German,60,10
1979,9,Germany,Dschinghis Khan,"""Dschinghis Khan""",German,86,4
1979,10,Israel,Milk and Honey,"""Hallelujah"" (הללויה)",Hebrew,125,1
1979,11,France,Anne-Marie David,"""Je suis l'enfant soleil""",French,106,3
1979,12,Belgium,Micha Marah,"""Hey Nana""",Dutch,5,18
1979,13,Luxembourg,Jeane Manson,"""J'ai déjà vu ça dans tes yeux""",French,44,13
1979,14,Netherlands,Xandra,"""Colorado""",Dutch,51,12
1979,15,Sweden,Ted Gärdestad,"""Satellit""",Swedish,8,17
1979,16,Norway,Anita Skorgan,"""Oliver""",Norwegian,57,11
1979,17,United Kingdom,Black Lace,"""Mary Ann""",English,73,7
1979,18,Austria,Christina Simon,"""Heute in Jerusalem""",German,5,18
1979,19,Spain,Betty Missiego,"""Su canción""",Spanish,116,2
1980,1,Austria,Blue Danube,"""Du bist Musik""",German,64,8
1980,2,Turkey,Ajda Pekkan,"""Pet'r Oil""",Turkish,23,15
1980,3,Greece,Anna Vissi and the Epikouri,"""Autostop"" (Ωτοστόπ)",Greek,30,13
1980,4,Luxembourg,Sophie and Magaly,"""Papa Pingouin""",French,56,9
1980,5,Morocco,Samira Bensaïd,"""Bitaqat Hub"" (بطاقة حب)",Arabic,7,18
1980,6,Italy,Alan Sorrenti,"""Non so che darei""",Italian,87,6
1980,7,Denmark,Bamses Venner,"""Tænker altid på dig""",Danish,25,14
1980,8,Sweden,Tomas Ledin,"""Just nu!""",Swedish,47,10
1980,9,Switzerland,Paola,"""Cinéma""",French,104,4
1980,10,Finland,Vesa-Matti Loiri,"""Huilumies""",Finnish,6,19
1980,11,Norway,Sverre Kjelsberg and Mattis Hætta,"""Sámiid ædnan""",Norwegian,15,16
1980,12,Germany,Katja Ebstein,"""Theater""",German,128,2
1980,13,United Kingdom,Prima Donna,"""Love Enough for Two""",English,106,3
1980,14,Portugal,José Cid,"""Um grande, grande amor""",Portuguese,71,7
1980,15,Netherlands,Maggie MacNeal,"""Amsterdam""",Dutch,93,5
1980,16,France,Profil,"""Hé, hé M'sieurs dames""",French,45,11
1980,17,Ireland,Johnny Logan,"""What's Another Year""",English,143,1
1980,18,Spain,Trigo Limpio,"""Quédate esta noche""",Spanish,38,12
1980,19,Belgium,Telex,"""Euro-Vision""",French,14,17
1981,1,Austria,Marty Brem,"""Wenn du da bist""",German,20,17
1981,2,Turkey,Modern Folk Trio and Ayşegül,"""Dönme Dolap""",Turkish,9,18
1981,3,Germany,Lena Valaitis,"""Johnny Blue""",German,132,2
1981,4,Luxembourg,Jean-Claude Pascal,"""C'est peut-être pas l'Amérique""",French,41,11
1981,5,Israel,Habibi,"""Halayla"" (הלילה)",Hebrew,56,7
1981,6,Denmark,Debbie Cameron and Tommy Seebach,"""Krøller eller ej""",Danish,41,11
1981,7,Yugoslavia,Seid Memić Vajta,"""Lejla"" (Лејла)",Serbo-Croatian,35,15
1981,8,Finland,Riki Sorsa,"""Reggae OK""",Finnish,27,16
1981,9,France,Jean Gabilou,"""Humanahum""",French,125,3
1981,10,Spain,Bacchelli,"""Y sólo tú""",Spanish,38,14
1981,11,Netherlands,Linda Williams,"""Het is een wonder""",Dutch,51,9
1981,12,Ireland,Sheeba,"""Horoscopes""",English,105,5
